comparison,metric,estimate,ci_low,ci_high,kind
frozen,accuracy,0.4,0.275,0.5,single
frozen,macro_f1,0.258030118030118,0.15999305555555557,0.33750801282051285,single
linear,accuracy,0.25,0.25,0.25,single
linear,macro_f1,0.04,0.04,0.04,single
lora,accuracy,0.275,0.175,0.375,single
lora,macro_f1,0.10184210526315789,0.05109523809523809,0.15214182263814618,single
full,accuracy,0.225,0.175,0.25,single
full,macro_f1,0.04186046511627907,0.03333333333333333,0.04878048780487805,single
frozen - linear,accuracy,0.15000000000000002,0.025000000000000022,0.25,paired_difference
frozen - linear,macro_f1,0.218030118030118,0.11999305555555555,0.29750801282051287,paired_difference
frozen - lora,accuracy,0.125,-0.025624999999999985,0.275,paired_difference
frozen - lora,macro_f1,0.1561880127669601,0.040767673690495825,0.2500845944990682,paired_difference
frozen - full,accuracy,0.17500000000000002,0.04937500000000002,0.3,paired_difference
frozen - full,macro_f1,0.21616965291383894,0.11784378460686602,0.295014846161158,paired_difference
linear - lora,accuracy,-0.025000000000000022,-0.125,0.07500000000000001,paired_difference
linear - lora,macro_f1,-0.061842105263157886,-0.11214182263814618,-0.011095238095238104,paired_difference
linear - full,accuracy,0.024999999999999994,0.0,0.07500000000000001,paired_difference
linear - full,macro_f1,-0.0018604651162790684,-0.00878048780487805,0.006666666666666668,paired_difference
lora - full,accuracy,0.05000000000000002,-0.07500000000000001,0.175,paired_difference
lora - full,macro_f1,0.05998164014687882,0.006024891774891778,0.1121868530020704,paired_difference
