id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.17889308461071105,0.8211069153892889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A0A7EQR3,2,474,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AQW4,0,356,U,test,0,0.8038928844978674,0.0,0.0,0.0,0.19610711550213256,0.0,0.0,0.0,0.0,0.0
A0AVI4,5,362,M,test,1,0.0,0.42362604696515216,0.0,0.389067694672756,0.1873062583620919,0.0,0.0,0.0,0.0,0.0
A0AVK6,0,867,U,test,0,0.8377182185417456,0.16228178145825448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0PJY2,0,475,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1XGB4,4,166,M,test,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A1Z9P3,1,1576,S,test,0,0.38490384904133257,0.0,0.0,0.0,0.2167723346225469,0.19556190557680891,0.0,0.20276191075931166,0.0,0.0
A2A8L1,0,1946,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A935,0,1275,U,test,0,0.8021555985390838,0.19784440146091614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A9C3,9,3431,U,test,1,0.2151862426314878,0.41588508942349167,0.18508361051542366,0.18384505742959692,0.0,0.0,0.0,0.0,0.0,0.0
A2AMM0,1,362,S,test,1,0.19196895052617946,0.8080310494738205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2APC3,1,461,S,test,0,0.8043491168915068,0.19565088310849327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2AR95,4,345,M,test,4,0.0,0.0,0.0,0.0,0.7340492076909756,0.26595079230902435,0.0,0.0,0.0,0.0
A2AVQ5,3,414,U,test,1,0.20172550267987882,0.40665342663411896,0.20084768528889974,0.1907733853971025,0.0,0.0,0.0,0.0,0.0,0.0
A2RV66,5,269,M,test,4,0.0,0.0,0.0,0.0,0.7132414895889898,0.28675851041101025,0.0,0.0,0.0,0.0
A2XFC1,0,442,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4D1B5,7,854,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4Q9F4,1,727,S,test,0,0.8054146917295754,0.1945853082704246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5D6W6,5,292,M,test,5,0.0,0.0,0.0,0.0,0.40205580485646103,0.597944195143539,0.0,0.0,0.0,0.0
A6NNB3,4,132,M,test,4,0.0,0.0,0.0,0.0,0.8121308020833524,0.18786919791664758,0.0,0.0,0.0,0.0
A6XGK3,2,422,S,test,2,0.0,0.0,0.644814474594528,0.0,0.17660767336051877,0.0,0.0,0.0,0.1785778520449532,0.0
A6YSL1,6,525,S,test,6,0.0,0.1956131042886945,0.0,0.3923696327382998,0.0,0.0,0.4120172629730057,0.0,0.0,0.0
A7MAS3,1,351,S,test,0,0.654975233887918,0.17035912435137338,0.0,0.0,0.0,0.17466564176070862,0.0,0.0,0.0,0.0
A7WNV3,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV4,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV7,2,62,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8B5P0,2,69,S,test,2,0.0,0.15947963352462763,0.6801440431371842,0.0,0.0,0.1603763233381882,0.0,0.0,0.0,0.0
A8E0R9,1,1083,S,test,1,0.1994339170257001,0.4239138164950157,0.0,0.0,0.1879993570219514,0.0,0.0,0.18865290945733273,0.0,0.0
A8IVX2,1,524,S,test,1,0.3865298285682458,0.41274111707504774,0.0,0.0,0.20072905435670652,0.0,0.0,0.0,0.0,0.0
A8MQ27,1,555,S,test,0,0.5555622203024954,0.4444377796975047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8MUP2,3,240,U,test,3,0.0,0.0,0.0,0.5892688256114952,0.0,0.41073117438850476,0.0,0.0,0.0,0.0
B0BMY1,8,293,M,test,4,0.0,0.0,0.0,0.3984065936156487,0.6015934063843513,0.0,0.0,0.0,0.0,0.0
B0FHH8,2,151,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2D6M2,0,612,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2RNN3,2,333,S,test,2,0.0,0.0,0.8220860572523156,0.0,0.17791394274768432,0.0,0.0,0.0,0.0,0.0
B2RXS4,4,1842,M,test,5,0.1966496153679721,0.20731943800050082,0.0,0.0,0.1935566819059521,0.4024742647255751,0.0,0.0,0.0,0.0
B2RYG6,1,271,S,test,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0P0,2,47,S,test,2,0.20434445518713204,0.0,0.795655544812868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
