id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.0,0.8297076402422048,0.0,0.0,0.0,0.17029235975779522,0.0,0.0,0.0,0.0
A0A0A7EQR3,2,474,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AQW4,0,356,U,test,0,0.8001183310301815,0.0,0.0,0.0,0.19988166896981852,0.0,0.0,0.0,0.0,0.0
A0AVI4,5,362,M,test,1,0.0,0.6141531680301475,0.0,0.20034795013335682,0.18549888183649577,0.0,0.0,0.0,0.0,0.0
A0AVK6,0,867,U,test,0,0.8417422314442239,0.1582577685557761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0PJY2,0,475,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1XGB4,4,166,M,test,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A1Z9P3,1,1576,S,test,0,0.38145083335111524,0.0,0.0,0.0,0.21896903826469646,0.1963374143915492,0.0,0.20324271399263916,0.0,0.0
A2A8L1,0,1946,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A935,0,1275,U,test,0,0.8081288326781715,0.1918711673218285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A9C3,9,3431,U,test,0,0.4079375591990074,0.3959889460620294,0.0,0.19607349473896316,0.0,0.0,0.0,0.0,0.0,0.0
A2AMM0,1,362,S,test,1,0.19439295660452166,0.8056070433954783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2APC3,1,461,S,test,0,0.6066606264712547,0.3933393735287452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2AR95,4,345,M,test,4,0.0,0.0,0.0,0.0,0.5623027203498394,0.4376972796501606,0.0,0.0,0.0,0.0
A2AVQ5,3,414,U,test,1,0.21312738336709044,0.3987479977212587,0.19621441410831764,0.19191020480333326,0.0,0.0,0.0,0.0,0.0,0.0
A2RV66,5,269,M,test,4,0.17683884542415879,0.0,0.0,0.0,0.5371239577804674,0.28603719679537387,0.0,0.0,0.0,0.0
A2XFC1,0,442,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4D1B5,7,854,U,test,0,0.8268744182609908,0.1731255817390091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4Q9F4,1,727,S,test,0,0.8037263432436861,0.19627365675631395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5D6W6,5,292,M,test,5,0.0,0.0,0.0,0.0,0.18063326631869442,0.8193667336813055,0.0,0.0,0.0,0.0
A6NNB3,4,132,M,test,4,0.0,0.1920489227328944,0.0,0.0,0.8079510772671057,0.0,0.0,0.0,0.0,0.0
A6XGK3,2,422,S,test,2,0.0,0.0,0.4296881586247522,0.0,0.1858229901660639,0.0,0.0,0.0,0.384488851209184,0.0
A6YSL1,6,525,S,test,1,0.1857359786907284,0.39092780548799955,0.0,0.23493761174697575,0.0,0.0,0.18839860407429643,0.0,0.0,0.0
A7MAS3,1,351,S,test,0,0.6215040279192848,0.18378229909208543,0.0,0.0,0.0,0.19471367298862977,0.0,0.0,0.0,0.0
A7WNV3,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV4,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV7,2,62,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8B5P0,2,69,S,test,3,0.0,0.37957761556899,0.24077168210615885,0.3796507023248511,0.0,0.0,0.0,0.0,0.0,0.0
A8E0R9,1,1083,S,test,1,0.19757070610730476,0.41990546768694637,0.0,0.0,0.19062766535553197,0.0,0.0,0.19189616085021688,0.0,0.0
A8IVX2,1,524,S,test,1,0.19044691031552347,0.5972929074842215,0.0,0.0,0.21226018220025517,0.0,0.0,0.0,0.0,0.0
A8MQ27,1,555,S,test,0,0.5484293050210002,0.4515706949789999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8MUP2,3,240,U,test,5,0.0,0.2105053363186191,0.0,0.38720052478337763,0.0,0.40229413889800325,0.0,0.0,0.0,0.0
B0BMY1,8,293,M,test,4,0.0,0.0,0.0,0.197189644760706,0.6090436887586955,0.0,0.0,0.0,0.1937666664805986,0.0
B0FHH8,2,151,S,test,2,0.0,0.0,0.7725830766563659,0.0,0.0,0.0,0.0,0.0,0.227416923343634,0.0
B2D6M2,0,612,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2RNN3,2,333,S,test,2,0.0,0.0,0.6254081259124575,0.0,0.3745918740875424,0.0,0.0,0.0,0.0,0.0
B2RXS4,4,1842,M,test,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2RYG6,1,271,S,test,0,0.4129115062840408,0.3947348563013559,0.0,0.0,0.19235363741460335,0.0,0.0,0.0,0.0,0.0
B3A0P0,2,47,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0P8,2,318,S,test,2,0.0,0.0,0.835671190115454,0.0,0.0,0.0,0.164328809884546,0.0,0.0,0.0
B3A0Q1,2,203,S,test,2,0.0,0.19362237752950273,0.8063776224704973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0Q2,2,296,S,test,0,0.6141479217896034,0.0,0.0,0.0,0.0,0.20200632169621754,0.0,0.18384575651417912,0.0,0.0
B3A0Q4,2,185,S,test,2,0.17197782404223705,0.15818000250746164,0.6698421734503014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0Q9,2,121,S,test,2,0.0,0.0,0.8086297204269476,0.0,0.1913702795730524,0.0,0.0,0.0,0.0,0.0
B3A0R3,2,264,S,test,2,0.3796894412085865,0.0,0.6203105587914135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0R5,2,214,S,test,0,0.5993220848573331,0.18778636301168455,0.0,0.21289155213098246,0.0,0.0,0.0,0.0,0.0,0.0
B3A0R6,2,513,S,test,2,0.0,0.0,0.8105546892279203,0.0,0.18944531077207974,0.0,0.0,0.0,0.0,0.0
B3A0R9,2,119,S,test,2,0.0,0.0,0.6124315151628236,0.0,0.0,0.0,0.3875684848371764,0.0,0.0,0.0
B3A0S3,2,489,S,test,2,0.0,0.0,0.8352379022989179,0.0,0.16476209770108208,0.0,0.0,0.0,0.0,0.0
B3A0S4,2,195,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3EWF4,2,109,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3EWF5,2,111,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3EWF6,2,108,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3EWT2,2,40,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3EWT3,2,51,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3FIV1,2,99,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
