id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.0,0.8104867917014106,0.0,0.1895132082985895,0.0,0.0,0.0,0.0,0.0,0.0
A0A0A7EQR3,2,474,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AQW4,0,356,U,test,0,0.8178301982938276,0.0,0.0,0.0,0.18216980170617236,0.0,0.0,0.0,0.0,0.0
A0AVI4,5,362,M,test,1,0.0,0.4328660198716383,0.0,0.21150046505735798,0.18015150908156097,0.17548200598944283,0.0,0.0,0.0,0.0
A0AVK6,0,867,U,test,0,0.8044023236943998,0.19559767630560015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0PJY2,0,475,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1XGB4,4,166,M,test,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A1Z9P3,1,1576,S,test,0,0.3961912134050061,0.0,0.0,0.0,0.2100133950614559,0.19673868314940515,0.0,0.19705670838413286,0.0,0.0
A2A8L1,0,1946,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A935,0,1275,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A9C3,9,3431,U,test,0,0.5883177945249602,0.4116822054750398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2AMM0,1,362,S,test,1,0.19336985661137243,0.6218658620139051,0.0,0.0,0.0,0.18476428137472242,0.0,0.0,0.0,0.0
A2APC3,1,461,S,test,0,0.8037689780355414,0.19623102196445866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2AR95,4,345,M,test,4,0.0,0.0,0.0,0.0,0.5642167110975521,0.43578328890244783,0.0,0.0,0.0,0.0
A2AVQ5,3,414,U,test,1,0.20409752202701345,0.4058222287783356,0.19876586041195196,0.19131438878269896,0.0,0.0,0.0,0.0,0.0,0.0
A2RV66,5,269,M,test,4,0.0,0.0,0.0,0.0,0.7264112961997785,0.2735887038002215,0.0,0.0,0.0,0.0
A2XFC1,0,442,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4D1B5,7,854,U,test,0,0.8122347888143054,0.1877652111856945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4Q9F4,1,727,S,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5D6W6,5,292,M,test,4,0.0,0.0,0.0,0.0,0.6064227380713345,0.39357726192866543,0.0,0.0,0.0,0.0
A6NNB3,4,132,M,test,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A6XGK3,2,422,S,test,2,0.0,0.0,0.8288437232310699,0.0,0.17115627676893014,0.0,0.0,0.0,0.0,0.0
A6YSL1,6,525,S,test,3,0.0,0.1921350384505417,0.0,0.5834395783111187,0.0,0.0,0.22442538323833963,0.0,0.0,0.0
A7MAS3,1,351,S,test,0,0.6617072804954879,0.16957685878477657,0.0,0.0,0.0,0.1687158607197355,0.0,0.0,0.0,0.0
A7WNV3,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV4,2,70,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A7WNV7,2,62,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8B5P0,2,69,S,test,0,0.3777717777884936,0.1865052278068082,0.24783166840827436,0.18789132599642386,0.0,0.0,0.0,0.0,0.0,0.0
A8E0R9,1,1083,S,test,1,0.20252350651675957,0.7974764934832405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8IVX2,1,524,S,test,1,0.19439332495978032,0.5934732228014138,0.0,0.0,0.212133452238806,0.0,0.0,0.0,0.0,0.0
A8MQ27,1,555,S,test,0,0.5462074233974918,0.4537925766025082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8MUP2,3,240,U,test,3,0.0,0.0,0.0,0.5936040438522948,0.0,0.40639595614770513,0.0,0.0,0.0,0.0
B0BMY1,8,293,M,test,4,0.0,0.0,0.0,0.1948411750777972,0.6112759256878922,0.19388289923431062,0.0,0.0,0.0,0.0
B0FHH8,2,151,S,test,2,0.0,0.0,0.796239156961488,0.0,0.0,0.0,0.0,0.0,0.20376084303851213,0.0
B2D6M2,0,612,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2RNN3,2,333,S,test,2,0.0,0.0,0.6565956581601763,0.0,0.34340434183982366,0.0,0.0,0.0,0.0,0.0
B2RXS4,4,1842,M,test,4,0.19524230890983482,0.20145024159660285,0.0,0.0,0.40077705665413305,0.20253039283942934,0.0,0.0,0.0,0.0
B2RYG6,1,271,S,test,0,0.4271137124346201,0.19234349425423683,0.0,0.0,0.380542793311143,0.0,0.0,0.0,0.0,0.0
B3A0P0,2,47,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0P8,2,318,S,test,2,0.0,0.0,0.8240793431296639,0.0,0.0,0.0,0.17592065687033612,0.0,0.0,0.0
B3A0Q1,2,203,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3A0Q2,2,296,S,test,5,0.194276152198636,0.2002873502815201,0.1927833950510209,0.0,0.0,0.2137828550286275,0.0,0.19887024744019555,0.0,0.0
