id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.18315906234379617,0.8168409376562039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A0A7EQR3,2,474,S,test,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AQW4,0,356,U,test,0,0.8097505324034121,0.0,0.0,0.0,0.190249467596588,0.0,0.0,0.0,0.0,0.0
A0AVI4,5,362,M,test,1,0.0,0.6088997781496671,0.0,0.190719571014542,0.20038065083579087,0.0,0.0,0.0,0.0,0.0
A0AVK6,0,867,U,test,0,0.8436251774099542,0.15637482259004576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0PJY2,0,475,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1XGB4,4,166,M,test,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A1Z9P3,1,1576,S,test,0,0.3933448260110925,0.0,0.0,0.0,0.21377387288968736,0.19557155752992209,0.0,0.19730974356929817,0.0,0.0
A2A8L1,0,1946,U,test,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A935,0,1275,U,test,0,0.8060850507139393,0.1939149492860607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2A9C3,9,3431,U,test,1,0.3968734219451198,0.4178571020167011,0.0,0.18526947603817912,0.0,0.0,0.0,0.0,0.0,0.0
A2AMM0,1,362,S,test,1,0.18838232518630074,0.8116176748136993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2APC3,1,461,S,test,0,0.6078497250708802,0.39215027492911986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2AR95,4,345,M,test,4,0.0,0.0,0.0,0.0,0.5536524861778412,0.44634751382215876,0.0,0.0,0.0,0.0
A2AVQ5,3,414,U,test,1,0.20296451937843776,0.40333003651547455,0.20309571864589662,0.1906097254601911,0.0,0.0,0.0,0.0,0.0,0.0
