id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.0038991847768473707,0.9816255020740393,0.0020015010525059294,0.002442729819479502,0.003604836066896411,0.0016399711514012607,0.0009163539525944827,0.0015167253853190215,0.0013229113240725216,0.0010302843968442309
A0A0A7EQR3,2,474,S,test,2,0.0006427186349767964,0.0010270614941540579,0.9939648572956862,0.000473911033033345,0.00047762797055637295,0.000796757876409785,0.0005874924283077657,0.0004629329225953021,0.0009388102395307815,0.0006278301047496047
A0AQW4,0,356,U,test,0,0.9949456679068914,0.0011769685469403845,0.00036371877743611957,0.0008212553317054009,0.0004633897134073779,0.0004597836029967836,0.0005109259349412693,0.00036088825506742776,0.00039635820212030604,0.000501043728493448
A0AVI4,5,362,M,test,5,0.04541983264498233,0.0056407179114725875,0.0031395323213923108,0.01143915997681204,0.04008286190298843,0.8503400528752683,0.0037282865852169157,0.01722259657099857,0.01659518869032126,0.006391770520547347
A0AVK6,0,867,U,test,0,0.9941162622116627,0.001480791535673014,0.0003720337243582065,0.001246951465135381,0.0004777007058723866,0.00048522343453134777,0.0005287664591497718,0.0003838433015341524,0.0003898879631250964,0.0005185391989579151
A0PJY2,0,475,U,test,0,0.9946583731766347,0.0012764583760634138,0.0003722366077622235,0.0009922730546274283,0.0005008990768091315,0.0004873881802385675,0.0005087870857906946,0.0003389252457726742,0.00038106391350750625,0.0004835952827936196
A1XGB4,4,166,M,test,4,0.0016475315088635924,0.0005772095481001104,0.0010051506942176335,0.0018451477689012646,0.9880788647801904,0.002221330437786376,0.0008530603852528158,0.0012906390887726055,0.0015030272868043054,0.0009780385011109653
A1Z9P3,1,1576,S,test,1,0.0025061269370659413,0.9876229978033225,0.0015319647833795071,0.002233353492063133,0.001378619025671128,0.0009291835797202459,0.0007408096732724702,0.0011295998947735853,0.001012566870701267,0.0009147779400301485
A2A8L1,0,1946,U,test,0,0.9951374628972407,0.0008812482152236618,0.0003812474581020115,0.0007552451515314934,0.0005439826433991081,0.0004953018851589475,0.0005050708193638931,0.0003753367607622121,0.0004220024569524653,0.0005031017122654828
A2A935,0,1275,U,test,0,0.9949485004421885,0.0011208830155858447,0.0003363858136137976,0.0008674209312266366,0.0004894384731636487,0.00048562962624693713,0.0005030062115550437,0.00038717772482792646,0.00038717772482792646,0.00047438003676372644
A2A9C3,9,3431,U,test,1,0.23423799595747938,0.6884637831671144,0.001392830118980422,0.04612419620683269,0.003698399714868035,0.008015183215816101,0.0033674314034295937,0.0069909672149201406,0.005551955484624509,0.0021572575159347143
A2AMM0,1,362,S,test,1,0.002602402681631679,0.988203086823647,0.0012807562520768382,0.0022988560596130603,0.0008014767686596503,0.0009896917955026653,0.0009896917955026653,0.0009153152211300895,0.000873399890474036,0.0010453227117623114
A2APC3,1,461,S,test,1,0.0032919632175369973,0.9869398521283836,0.0008067302633647257,0.003214135160146659,0.0008067302633647257,0.0014158556689964489,0.0009070312482875126,0.0008999726388984452,0.0008722833742310148,0.0008454460367898342
A2AR95,4,345,M,test,4,0.0020947091625355464,0.001020879640585282,0.003841488537771417,0.0019601253618907206,0.9650956169250124,0.01634794536832695,0.002022346327013683,0.0031139716778228288,0.0026687284566017156,0.001834188542439439
A2AVQ5,3,414,U,test,1,0.15445104025605544,0.7602346433293823,0.0042466362345036646,0.06289330036994116,0.0026783197744052888,0.004148262494966446,0.003548196933024606,0.0024964685668730844,0.003082727039008489,0.0022204050018395528
A2RV66,5,269,M,test,4,0.006488444250006008,0.005861821043417048,0.032758532410706455,0.007468154219885382,0.6515784697494102,0.2287255677896348,0.010655930044035426,0.022344832865200517,0.026168439417186582,0.007949808210517547
A2XFC1,0,442,U,test,0,0.9949050987405814,0.0009544964266025172,0.00036655648159286344,0.0008164240735596386,0.0005069292304631882,0.00048750905960791486,0.0005524201465758979,0.0004219039336057963,0.0004319090736620263,0.0005567528337487817
A4D1B5,7,854,U,test,0,0.9933879656187409,0.0016857574704589352,0.00033065121740400593,0.0015339631787931502,0.0005002592948076715,0.0005451517217251916,0.0005494273655784192,0.00047735073788521016,0.00047735073788521016,0.0005121226567213627
A4Q9F4,1,727,S,test,1,0.0027054471430226885,0.9882166640351321,0.0014011708595983044,0.0020546812470346666,0.0008334154980618926,0.001021121949320622,0.0009897054093758518,0.0009297421420393877,0.0008269297670939195,0.001021121949320622
A5D6W6,5,292,M,test,5,0.0010714994470526773,0.0010926329028806397,0.0011012024677050977,0.0009492958950188728,0.002540447562059754,0.985626774872576,0.001267476379385346,0.0014760528258106393,0.003646137491256027,0.001228480156254976
A6NNB3,4,132,M,test,4,0.005727986837815419,0.001434187529407813,0.006865552200052428,0.0036623261612204346,0.9539378339823981,0.013448663132612651,0.0035774884949551122,0.005195058446209629,0.003633825594798831,0.002517077620529663
