id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.0026356021814534078,0.9872200641323182,0.0013673325512990778,0.0021177658672216324,0.0016301025422276682,0.0011291391157557877,0.0008590037019245781,0.0010858824411266743,0.0010042770454970547,0.0009508304211759277
A0A0A7EQR3,2,474,S,test,2,0.0007275910425999047,0.0011379739418978946,0.9930031443389613,0.0005578634279119543,0.0005535220674069276,0.0010062219393418685,0.0006676750987898632,0.0005119242504741438,0.0011558944522138278,0.0006781894404023469
A0AQW4,0,356,U,test,0,0.9949862251111152,0.001124763334183885,0.00036946156237757427,0.0008148975137217473,0.0004725484990459206,0.00045800970893464693,0.0005109467560506777,0.0003609029694331136,0.00039328977175561965,0.0005089547733815581
A0AVI4,5,362,M,test,5,0.037508788108802205,0.005797273847892825,0.003743001032117587,0.008702738763729036,0.024217495371442344,0.8536961025230204,0.002654185454499123,0.03183329680247466,0.02557877054973607,0.006268347546285689
A0AVK6,0,867,U,test,0,0.9943872057203257,0.00136420783397106,0.0003663656888785418,0.001150743190756389,0.0004741123955712568,0.0004741123955712568,0.0005146441723369029,0.00037799537785031224,0.00038394792713425434,0.0005066652976043906
A0PJY2,0,475,U,test,0,0.99471214038251,0.0012122673244135149,0.00038108450167550687,0.0009769421552831815,0.0005128053118763639,0.0004855142742632616,0.0005088145950178916,0.00033894355610477613,0.0003840733774719955,0.0004874145213834729
A1XGB4,4,166,M,test,4,0.002785615082263261,0.000650112790695728,0.0011232940875875552,0.002359508007505664,0.9821097586119537,0.0038863736088742165,0.0009683400597224566,0.0022691166348172698,0.0027157768340895024,0.0011321042824906599
A1Z9P3,1,1576,S,test,1,0.0024302315784715165,0.9881149919007064,0.0012906863235933243,0.0020504613136584837,0.001417541411920372,0.0009896034967109978,0.0007469919484837591,0.00111264109411512,0.0009666793426469061,0.0008801715896930714
A2A8L1,0,1946,U,test,0,0.9951320754812958,0.0008881551011925977,0.000381245393217117,0.0007776945726984032,0.0005397464322627058,0.0004895287509735527,0.0005030989970721101,0.00036664012736175997,0.00041871614685385353,0.0005030989970721101
A2A935,0,1275,U,test,0,0.9949939005582598,0.0010566255450124601,0.00035254539185356317,0.0008607098437589483,0.0005049979259362586,0.00048187239979008087,0.0005049979259362586,0.0003752826146801016,0.00038719539498251464,0.00048187239979008087
A2A9C3,9,3431,U,test,0,0.9297144248386575,0.042476033181451774,0.000713910628705405,0.015323824807021954,0.0015351489507233248,0.002801597873703235,0.001753195165932395,0.0027474102745905075,0.001837332697690402,0.0010971215815234578
A2AMM0,1,362,S,test,1,0.0026407305421837332,0.9884167589160863,0.0010414726856901205,0.002372342460809278,0.0007892216310159514,0.0010133806200121364,0.0009669745610550054,0.0008804403723759425,0.0008533520978383984,0.001025326112933178
A2APC3,1,461,S,test,1,0.0031931376448536496,0.9872178732134956,0.0008657390514376199,0.00298142243147268,0.0008006777353901467,0.0013726809912688923,0.0009508283412205896,0.0008793724485403931,0.0008657390514376199,0.0008725290908827258
A2AR95,4,345,M,test,4,0.0031814491017022445,0.0017095719038242854,0.005497051340852168,0.003059569711706338,0.9280800714595515,0.04045966594426571,0.0034669464993879887,0.005704875505369514,0.005955349586709762,0.0028854489466305184
A2AVQ5,3,414,U,test,1,0.2201109487542706,0.6779894702511007,0.004862884434631384,0.0766649157430061,0.002972621415320385,0.004640196363624253,0.004094959626068182,0.0027066028638444307,0.003394840454778812,0.002562560093355177
A2RV66,5,269,M,test,4,0.008187141101698294,0.006948336816520048,0.036052878207374996,0.008852410880147443,0.5349922666607146,0.3145057196550762,0.01355114458303416,0.026222748144622464,0.04190383393141968,0.008783520019392073
A2XFC1,0,442,U,test,0,0.9949301514747082,0.0008309230682014319,0.000390207175363127,0.0008931931113788702,0.000537533062208109,0.0004913450419859629,0.0005481350075080215,0.0003932676183189785,0.0004219145529864022,0.0005633298873409024
A4D1B5,7,854,U,test,0,0.9932719270509232,0.0018012926004820423,0.0003254868918897257,0.0015638442171704314,0.0005002008601957985,0.0005450880489514695,0.0005408461072849866,0.00047729498055648867,0.0004698952440552518,0.0005041239984907006
A4Q9F4,1,727,S,test,1,0.002594510601127314,0.9885794084876343,0.0011849570047694144,0.0020275251337839007,0.0007187127019581876,0.0010135474313737204,0.0010295084379166861,0.0009156637973775039,0.0008402603698447721,0.001095906034214293
