id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.0025533119602781595,0.9877199250877016,0.001280130045655363,0.002069755381754729,0.0014169747226722952,0.0010612650822825608,0.000879819664851626,0.001069588660137555,0.0010126662328591596,0.0009365631618070362
A0A0A7EQR3,2,474,S,test,2,0.0006256434037852002,0.0009558573491433702,0.9943795912541026,0.0004523977786332802,0.0004631260605551264,0.000728599589830117,0.0005564587750661975,0.00043847896054023287,0.0008144006412904479,0.0005854461870534659
A0AQW4,0,356,U,test,0,0.9949795344387262,0.0011419104318510945,0.00036658390834830843,0.0008101312155320963,0.00047439483832642943,0.0004562210370055388,0.0005049906213120206,0.0003637311506195121,0.0003994804948663419,0.0005030218634123862
A0AVI4,5,362,M,test,5,0.02047373753780515,0.003884652568129752,0.0027546310404595164,0.006454942022766704,0.0309153343129797,0.907014583571702,0.0026284873427203487,0.010831127139160837,0.011306670739800162,0.0037358337244758556
A0AVK6,0,867,U,test,0,0.9941974663035096,0.0014200134593850813,0.0003662957672342876,0.001209866462154877,0.00048148668841964984,0.0004852630558587927,0.000528809661236755,0.00038991981156576833,0.0004022972047297191,0.0005185815859054943
A0PJY2,0,475,U,test,0,0.9946970290104101,0.0012235477139328694,0.0003810787248490297,0.0009750210401347743,0.0005127974748810075,0.0004874071141397414,0.0005107982160029615,0.000338938408266955,0.00038406754323900443,0.0004893147541435322
A1XGB4,4,166,M,test,4,0.0037597958701019217,0.000877469154171855,0.001821672927166627,0.002799505420182904,0.9698088946349834,0.007775106612581831,0.0013484745538362962,0.004359310574325424,0.005897685529964339,0.001552084722685348
A1Z9P3,1,1576,S,test,1,0.00250729304597136,0.9880824945261599,0.0013109684941821265,0.002074562873950652,0.0013738831736643466,0.000959125082001029,0.0007411543377189586,0.0010953552182945744,0.0009818699575604372,0.0008732932904966128
A2A8L1,0,1946,U,test,0,0.9951340808115973,0.0008864238849837793,0.00038423628820704675,0.0007853280020422349,0.0005397474879160382,0.0004895297585139892,0.0005011386364928509,0.00036095659929654333,0.0004154585290656227,0.0005031000018846535
A2A935,0,1275,U,test,0,0.9949971533595542,0.0010504559715264297,0.00035254654698788226,0.0008657707450747224,0.0005049996010394496,0.0004818739881733829,0.0005049996010394496,0.00037236337444118223,0.0003841834296341083,0.0004856533825291822
A2A9C3,9,3431,U,test,1,0.09713945987711206,0.8391568405763321,0.0011309099738523942,0.03833871218301311,0.002820982279223812,0.006714521703253248,0.0027341897699954534,0.005437585359996909,0.0046328803048024695,0.001893917972418411
A2AMM0,1,362,S,test,1,0.002894411721881812,0.9878042290214146,0.0010287011223404268,0.0026964067585991923,0.0007585167521041552,0.0010367694011335392,0.0009892923313444724,0.000907825602782049,0.0008867958772993635,0.0009970514111003511
A2APC3,1,461,S,test,1,0.003846894182126078,0.9855152190773315,0.0008508470472982882,0.003846894182126078,0.0007930766503636817,0.0014932831070641952,0.0009716977760885906,0.000898673539862944,0.0008847408978756712,0.000898673539862944
A2AR95,4,345,M,test,4,0.0023879015794578415,0.0012534299398883433,0.004716556606573576,0.0022696685466074033,0.9521249112891803,0.024785498615924068,0.0024445290198410064,0.004014634135915762,0.0037420504487801834,0.002260819817831548
A2AVQ5,3,414,U,test,0,0.7064062550036394,0.19616192950409075,0.004402028611279789,0.0738752591192167,0.003001922803122763,0.003945952987587433,0.004300055780095592,0.0024310311778442378,0.00302546710212728,0.0024500979109960638
A2RV66,5,269,M,test,4,0.006354747883495422,0.005066446833153428,0.029155389378772944,0.006659718822205494,0.7402698381021687,0.16517653703931678,0.00917415000888759,0.016370669744163,0.01500790804517299,0.006764594142663573
A2XFC1,0,442,U,test,0,0.9948800766905953,0.0009713985457052878,0.0003665472600632706,0.000845615690831179,0.0005029715812601343,0.00048370307023253484,0.0005545683069021519,0.0004121201622102334,0.00042189331575439475,0.0005611053764454888
A4D1B5,7,854,U,test,0,0.9936856375835513,0.0014877582755658408,0.00035484327466920614,0.001503459098858462,0.0005082894885940466,0.0005203432514642487,0.0005474493458598643,0.0004313796804967804,0.0004485639265241014,0.0005122760744161716
A4Q9F4,1,727,S,test,1,0.0025226715215938477,0.9883348933272691,0.0014917171145082907,0.0019723481896629863,0.0008466410935542103,0.0010373263989516886,0.0009975871023509952,0.0009371462536612391,0.0008142067993030889,0.0010454621991445538
A5D6W6,5,292,M,test,5,0.0010887703911018891,0.00107189063609947,0.0011365731969610736,0.0009349195779834961,0.002751825679785667,0.9859865915076611,0.0012051590469166946,0.0013236082538056182,0.003304881313369024,0.0011957803963159547
A6NNB3,4,132,M,test,4,0.010368480052576734,0.002251117426288238,0.009043548930596335,0.007497365839155709,0.8871279106872144,0.02885282702742962,0.005152859113028084,0.02448707563164103,0.020340186897315364,0.004878628394754449
A6XGK3,2,422,S,test,2,0.0005270132771965495,0.0009884439889230256,0.9946980746140451,0.000491230412006259,0.00042181612388503937,0.0006662072228926638,0.0005290759236774205,0.00040883820321880877,0.0006927458974798085,0.0005765543366752648
