id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.002528374353418025,0.987671327130448,0.0013155519363021195,0.00214370909145002,0.0014618824785843088,0.0010529544050135724,0.0008460726552341658,0.001061212906544634,0.0009969173172706325,0.0009219977257345233
A0A0A7EQR3,2,474,S,test,2,0.000635369443886098,0.0009956795192253528,0.994181805386081,0.00047032566786475076,0.0004630339651254023,0.0007486481287574895,0.0005717705898297406,0.0004487879021433498,0.0008735505923998941,0.0006110288046868403
A0AQW4,0,356,U,test,0,0.9949763283847898,0.0011396786759476356,0.00037235557282216356,0.0008277220161098591,0.000470701541469398,0.0004526692459978562,0.0005049890235512474,0.0003553041636765938,0.00039328585289514557,0.0005069655227403229
A0AVI4,5,362,M,test,5,0.05190127606375101,0.005755319552184004,0.003463612579523479,0.011925037624234846,0.057674328929978355,0.8278853121397547,0.004517402263543031,0.016800585124298828,0.012570773889410474,0.007506351833321317
A0AVK6,0,867,U,test,0,0.9941978864281239,0.0014032990498666002,0.00037792342418382934,0.0012110491727165365,0.0004890692268252841,0.0004852632610083133,0.0005308796117461034,0.00038387480779791133,0.00039606031871671144,0.0005246946990148145
A0PJY2,0,475,U,test,0,0.9946712507050666,0.0012565124686536294,0.00037516092120411275,0.0009981171147224641,0.0005048342130075493,0.00047983812415524236,0.0005087936730632755,0.00033892961778869853,0.0003810688537711279,0.00048549430856735374
A1XGB4,4,166,M,test,4,0.0022024912703252856,0.0006080365258528847,0.0010182696834204331,0.0021098575035090484,0.9854562853369817,0.0029043236207339073,0.0008709721710577855,0.0017662984273793916,0.0020609826262409777,0.0010024828344985584
A1Z9P3,1,1576,S,test,1,0.002411798358679593,0.9887939404690461,0.0010791496807118174,0.0021190718252528354,0.0011398092757172748,0.0009016633625636111,0.0007416880027304056,0.001045947801060746,0.0009523462817946451,0.0008145849424429877
A2A8L1,0,1946,U,test,0,0.9951339257164525,0.0008846941333133136,0.00037827924750773596,0.0007822662053792496,0.0005397474231441153,0.0004895296835215967,0.0005030999296541194,0.00036664079766768825,0.0004187169337054729,0.0005030999296541194
A2A935,0,1275,U,test,0,0.9949899724142119,0.0010576536148813203,0.00034980049511704994,0.0008742606509682815,0.0005030271337969536,0.0004799918876026222,0.0005049959498004839,0.00037236067946734135,0.000384180647719614,0.00048375652643434887
A2A9C3,9,3431,U,test,0,0.9777674145853276,0.010045720970933886,0.00044137822274323865,0.005768772482123273,0.0007686145534068945,0.0013023601743179568,0.0010262350534981407,0.0012972826042254625,0.0008986014420786494,0.0006836199113449218
A2AMM0,1,362,S,test,1,0.0028475270253353843,0.9877700360071742,0.0010448646027495813,0.00277308827794952,0.0007409199854467886,0.0010448646027495813,0.0010048365931289527,0.0008937201525181812,0.0008594822914980599,0.001020660461449771
A2APC3,1,461,S,test,1,0.0033046964805501576,0.9868947282580601,0.0008323005921333147,0.00329824823664323,0.0007697522187825352,0.0013884071467417383,0.0009284984027912592,0.0008654556718353025,0.0008388284059032213,0.0008790845865590778
A2AR95,4,345,M,test,4,0.0022717040556410398,0.001124574992443697,0.004219306936444332,0.002134068554239042,0.9604531753634163,0.01916992776956454,0.002254025458378205,0.003470707085759689,0.002905553793670522,0.0019969559904426015
A2AVQ5,3,414,U,test,1,0.38482195156850946,0.49412116431357395,0.005619362930589991,0.09284261618407565,0.003435047344972867,0.004882187119164591,0.004806495739522621,0.00293815205941822,0.0036852681095177627,0.002847754630654936
A2RV66,5,269,M,test,4,0.006686531949341012,0.005947124636690165,0.033561399734995404,0.0075178701198818755,0.6559160819068367,0.22667853659103443,0.010685047896025856,0.021166909131471578,0.023961838179343026,0.00787865985437993
A2XFC1,0,442,U,test,0,0.9948944286554383,0.00095635220331026,0.00036655255940468465,0.0008357760324559355,0.0005069237863456585,0.0004837100490751898,0.0005545763574323899,0.00041535845699677837,0.00042520841483285025,0.0005611134847079391
A4D1B5,7,854,U,test,0,0.9934122709981271,0.0016101721016853886,0.0003492458170006355,0.0015898596055665666,0.0005121351370242067,0.0005283920140652993,0.0005559174294414589,0.0004555024256566609,0.0004663043713469187,0.0005202001000857755
A4Q9F4,1,727,S,test,1,0.002699992700863875,0.9881524741569873,0.0014175952373953963,0.0021785281789767088,0.0007470202624656083,0.0009896410927545563,0.0010210556518814309,0.00092968172868569,0.0008268760533725025,0.0010371349366169829
A5D6W6,5,292,M,test,5,0.001080396456099939,0.0010888700953589087,0.0011146919475426963,0.0009798770547377145,0.0026890645057985347,0.9860769265230587,0.0012052694794660575,0.0012532818403511213,0.0032286195391336365,0.0012830025584526722
A6NNB3,4,132,M,test,4,0.00683532964761265,0.0014496519001933436,0.006433751799716122,0.004113573852880951,0.949274924216842,0.014357784324014907,0.003701815719553241,0.007135436657641982,0.003925199922523427,0.0027725319590214048
A6XGK3,2,422,S,test,2,0.0005310402675792811,0.001040742187976083,0.9944987059045496,0.0005067221537120438,0.00041844965068222424,0.0007007712517764314,0.0005457612765925791,0.0004217316024494937,0.0007459671155887575,0.0005901085890935595
A6YSL1,6,525,S,test,6,0.0014419788956344355,0.0013894488082847583,0.0010426835257953463,0.001118636143815813,0.0006653639933763885,0.0012454938076565504,0.989566000193666,0.0009605650864722439,0.0009643246029956809,0.0016055049423028085
A7MAS3,1,351,S,test,0,0.47058720930530906,0.4490374473075482,0.002248428136757561,0.05753645860941713,0.00275483177641324,0.004930239797158533,0.0035372738482473275,0.0035929776502346784,0.0034553328258326733,0.0023198007430816313
A7WNV3,2,70,S,test,2,0.0008241829373519005,0.0008098219432032645,0.9945997033029261,0.0004779330354347563,0.0005373545009001323,0.0006136781323751488,0.0005631427648698858,0.00040245996340768455,0.0006041639155440164,0.0005675595039871214
A7WNV4,2,70,S,test,2,0.0008338952758600308,0.0008050880099118485,0.9945963049624194,0.00047980196589509906,0.0005436868606227181,0.0006112835419255055,0.0005631408528099129,0.00039932663431303355,0.0006065265202554572,0.0005609453759870206
A7WNV7,2,62,S,test,2,0.0007772790104698606,0.0008290267918379549,0.9946003048713246,0.0004632288779051903,0.0005127476257154338,0.0006356368776194736,0.0005697811872439917,0.00040879801406182856,0.0006356368776194736,0.0005675598662022049
A8B5P0,2,69,S,test,2,0.000673979299588221,0.0008687936915263703,0.9945786503922341,0.00047051341629501657,0.0005167578571912626,0.0007008275813287617,0.0005631308496977503,0.0004351537490295551,0.0006356230148345739,0.0005565701482743577
A8E0R9,1,1083,S,test,4,0.0020087312483411703,0.000813187450943209,0.0012545790549580034,0.0021361960142910865,0.9870975634278446,0.0017831163751073293,0.0012303133288102271,0.0011071620997890035,0.001259489336827631,0.001309661663087773
A8IVX2,1,524,S,test,1,0.0025880157601144474,0.9880326446172359,0.0006962149580358846,0.0026852041431798786,0.001045142466437007,0.001125662739476179,0.0007889149491551898,0.0010129868139561566,0.0012362986032541728,0.0007889149491551898
A8MQ27,1,555,S,test,4,0.0025879580968729437,0.0008961229200629749,0.0017752051975504454,0.0025879580968729437,0.982718084915325,0.003926943659550748,0.0012441433936458968,0.0013717723094047356,0.001177931362129438,0.0017138800485848793
A8MUP2,3,240,U,test,3,0.003940991626759742,0.006353281029270263,0.0016189598389727096,0.980471798568742,0.0014010929860155579,0.000887116832642867,0.001241299567622996,0.0011040347260956951,0.0016703512668355684,0.001311073557042648
B0BMY1,8,293,M,test,8,0.0034438605787943614,0.0037823409337408914,0.004057859223655703,0.018508567241576474,0.014108103300796994,0.010216411588494357,0.0049331022424536205,0.00837511600851286,0.9255082956357729,0.007066343246201893
