id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.3387192038274167,0.36056472239354004,0.0036756646107585157,0.07889677231475238,0.11878556972210542,0.013031363836018868,0.04125213066106451,0.02511861063009751,0.01205204000836432,0.007903921995881706
A0A0A7EQR3,2,474,S,test,2,0.0006558938984496795,0.012644573343612414,0.9528845615261051,0.00044380000771447625,0.009723375011179512,0.002068205388839005,0.003253743803029737,0.0031783707071005576,0.013173980837771396,0.0019734954761980667
A0AQW4,0,356,U,test,0,0.9772477542684124,0.007880786239835798,0.0001432183576204969,0.00040166583579636045,0.0026917970620960307,0.000365720922292726,0.01052223088846381,0.00034356298607291245,0.00031774384671208835,8.551959269736831e-05
A0AVI4,5,362,M,test,0,0.3444204317613675,0.06522224074146807,0.005189049969654344,0.14987952951386746,0.029169190566356515,0.2620212425961299,0.008965874057390265,0.07361835213892776,0.040339525638746,0.02117456301609217
A0AVK6,0,867,U,test,0,0.9109737575366517,0.08342008565868168,0.00014662735818979665,0.001992747020044439,0.001916406040441824,0.0005533658731343152,0.00015854198655577406,0.0005117798158864094,7.726718720936049e-05,0.0002494215232047011
A0PJY2,0,475,U,test,0,0.953854593139603,0.03163490901200957,0.000561586879240897,0.010932733239855946,0.0021527826686923985,0.00040449585455602376,1.9630836534896238e-06,0.00010388313020614966,7.069335689891805e-06,0.00034598365649268775
A1XGB4,4,166,M,test,4,0.0002822286542677796,0.00027354541028587974,0.009111813938341342,0.00043034732731630056,0.8154273394241153,0.03161754740572733,0.0009850748763645496,0.007107557524098027,0.1331148556263737,0.0016496898131097867
A1Z9P3,1,1576,S,test,1,0.39390281609154865,0.5468798386162721,0.0001670401866916324,0.009336361843200804,0.02162306239057266,0.005618721821697997,0.00020148892173006154,0.011664766113911061,0.009446415302661732,0.0011594887117132953
A2A8L1,0,1946,U,test,0,0.9179450585267421,0.06054504069418321,0.0008636286637806974,0.005048103198451417,0.00717480132530836,0.0040246983313678335,0.0012964601746461026,0.001772050921031886,0.0007272482171884459,0.0006029099472998642
A2A935,0,1275,U,test,0,0.7887225809660421,0.17598779639103085,0.0014989870952114574,0.0022502462558096773,0.021302882750898006,0.005928609101554204,0.00023717420305561886,0.0020171075753652786,0.0016985749960545709,0.0003560406649782404
A2A9C3,9,3431,U,test,0,0.69629674705103,0.22429530179265367,0.0025909535886977594,0.035592790465667566,0.006462966981966129,0.023640548659340118,0.00012308881481242148,0.0024723051889255004,0.0031252866411232267,0.005400010815783684
A2AMM0,1,362,S,test,1,0.3398265467807552,0.41636415424162937,0.020249351425343117,0.028333937142341812,0.12599570779325323,0.02767758198400551,0.0013148830921926433,0.03235837002821033,0.005711591680192753,0.00216787583207605
A2APC3,1,461,S,test,0,0.5802818290640119,0.13424234901759038,0.015585272581452876,0.09491360014831238,0.06638991488027106,0.039798385069654725,0.00254422557981555,0.04106172049301341,0.02064713028902345,0.004535572876854189
A2AR95,4,345,M,test,4,0.052380693444444994,0.018022908902138077,0.15149458521331102,0.007030356340567251,0.6279275714325201,0.07859436048282524,1.6499088029415137e-05,0.0471605449806568,0.016733703337882943,0.0006387767776242007
A2AVQ5,3,414,U,test,3,0.0564695117152094,0.3392270608167418,0.0004034489160979296,0.586131777399899,0.00709565175827595,0.004581297018396275,0.0006651748170926064,0.0030280522190300023,0.000802354026031207,0.0015956713132258197
A2RV66,5,269,M,test,4,0.04598127798777497,0.01804173080176358,0.04981481011122916,0.009470258320847904,0.8134472520759736,0.020928771020335767,0.0001102539621222872,0.031695155553914514,0.010160103815251632,0.000350386350786665
A2XFC1,0,442,U,test,0,0.5605281684076181,0.1929581346223195,0.0013466628956638894,0.103283049383456,0.009950567201359726,0.0181594680271396,0.045121022314669704,0.01948226461728122,0.0181594680271396,0.0310111945033527
A4D1B5,7,854,U,test,0,0.5899807420098504,0.2557377308217787,0.004504558321421842,0.04666435135908437,0.014885721315027991,0.048428570674748934,0.0008332595752022011,0.021999669095722617,0.01224465990219653,0.004720736924966371
A4Q9F4,1,727,S,test,0,0.730228650831729,0.16293604251648391,0.010254665951201645,0.033362089052821765,0.03664108978882137,0.008112107936203115,0.005575364355988043,0.005842931952259226,0.003031273105838107,0.004015784508653738
A5D6W6,5,292,M,test,5,0.00037342875124596125,0.0004298138103297363,0.004957538717190218,0.01733733976964131,0.06039518855118693,0.8669418742629287,0.0002606952747986485,0.022923428984175542,0.014026500332595702,0.01235419154590722
A6NNB3,4,132,M,test,4,0.006899868753779631,0.010521043541984387,0.02538698795518299,0.03266126885592487,0.7669640428599821,0.11489313315215971,0.00181405528996562,0.010855017664606923,0.02578677677849735,0.004217805147916379
A6XGK3,2,422,S,test,2,0.0006123481555600897,0.0032845615126114776,0.9323149507431527,0.002558019295519249,0.005187565097502932,0.01775617187489652,0.0022751493828415195,0.007007953383476485,0.025534092021178057,0.0034691885332608892
A6YSL1,6,525,S,test,3,0.27797773172987106,0.033722526952200564,0.0016529160601753943,0.5193307342314604,0.005091339759100546,0.01028478786150752,0.13760895874900148,0.0022592681675881058,0.0020251949093777785,0.010046541579717136
