id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.2888942536435556,0.483806818321715,0.0016391629883603985,0.051493279039800596,0.08625606971626035,0.009000775019918169,0.029282739302794205,0.029282739302794205,0.011201645928348785,0.00914251673645267
A0A0A7EQR3,2,474,S,test,2,0.0005790572724013401,0.012429247529448633,0.9532680331250898,0.00037975501436290416,0.010065510980688858,0.0019589255831357504,0.0024189502359303074,0.0036454865999964673,0.013000324241150309,0.002254709417795618
A0AQW4,0,356,U,test,0,0.9809821136435901,0.008066930275164893,0.00010683755481372999,0.000272819261966101,0.002129190240890706,0.0002685895729731232,0.00753390546839085,0.0003140130584594344,0.00023702947953074965,8.857144422024715e-05
A0AVI4,5,362,M,test,0,0.2913052032196071,0.07083186220639798,0.005483344552193252,0.13428407286549274,0.041154785882921534,0.25408093785739055,0.006410679729229064,0.11565416309792952,0.048492192635505825,0.032302757953332435
A0AVK6,0,867,U,test,0,0.8787830809593927,0.11527125198389403,8.186269892838733e-05,0.0019223302968744316,0.001834300292726826,0.0005338117905363669,9.276258515495015e-05,0.0009972917321206974,9.276258515495015e-05,0.0003905450752166275
A0PJY2,0,475,U,test,0,0.9558751559554872,0.033746523457832286,0.0004053527110142704,0.007588922951200634,0.0016476434053159014,0.0002874381130044907,1.5320896553100612e-06,8.364926365025786e-05,6.059532614144828e-06,0.00035772252022552026
A1XGB4,4,166,M,test,4,0.00013890018872021013,0.0002986823473180088,0.006700760886653359,0.0002399980075505428,0.8234479675260641,0.021603931391997816,0.0009870227956293117,0.013206219698239418,0.1302883962280858,0.003088120929741449
A1Z9P3,1,1576,S,test,1,0.32846252545151666,0.6233123213360686,0.00011729334578917697,0.006404000144670753,0.017121263585977445,0.004333162866945039,9.424784772302887e-05,0.010724680960271769,0.008385080274078503,0.001045424186958965
A2A8L1,0,1946,U,test,0,0.91103662858057,0.06756030598426747,0.0006369642175197747,0.0036942242531018614,0.007550504235922574,0.003994408869406917,0.001480986141057378,0.002348192003288126,0.0009413720328143847,0.0007564136820515394
A2A935,0,1275,U,test,0,0.7228342772299744,0.23466991993717487,0.0011935474853972197,0.0021612352803123806,0.02587046059299408,0.007031270653282834,0.00026218758582802226,0.003095826549020411,0.002449000446976068,0.0004322742390396773
A2A9C3,9,3431,U,test,0,0.5986202321437032,0.28722113189708964,0.004293607520794047,0.04344868260035577,0.01353887180638993,0.031356092344607664,0.00010918106203709627,0.005343481398938469,0.0056881066052913345,0.010380612620792882
A2AMM0,1,362,S,test,1,0.36398002598522705,0.42887324204612653,0.01742727313928772,0.019747689416917177,0.1059242191643376,0.02185869781310802,0.0013230126385002255,0.032179113559883614,0.005929331310378072,0.0027573949262339956
A2APC3,1,461,S,test,0,0.5876414775848389,0.15723755955696106,0.009351082146167755,0.08889403939247131,0.06097671762108803,0.028579210862517357,0.002119366079568863,0.04290247708559036,0.016800852492451668,0.0054972171783447266
A2AR95,4,345,M,test,4,0.03491141931370699,0.016014860384343077,0.12256890788327997,0.004752512011225597,0.6836343964288097,0.05857991904176885,9.46573695496951e-06,0.06272445384789319,0.0161404660075639,0.0006635993444537104
A2AVQ5,3,414,U,test,3,0.04638683262961317,0.3929704309370295,0.00028347236934743973,0.5455854188509603,0.00556179999657871,0.0037049578334114267,0.00026629764523687774,0.0028185831740264013,0.0007126494636634687,0.0017095571001326376
A2RV66,5,269,M,test,4,0.030439520134052853,0.01622958189301494,0.029137924277673942,0.006355594429519638,0.8324186855584461,0.01810540513445519,7.634143051373022e-05,0.05490396186603918,0.011920287428466153,0.00041269784781827745
A2XFC1,0,442,U,test,0,0.5277787778452796,0.22877517289298188,0.0009571235878821667,0.09499587715257375,0.010783877901023036,0.014064827885941444,0.03132631453924657,0.026276558425301137,0.01736774590912961,0.04767372386064078
A4D1B5,7,854,U,test,0,0.5698568952306715,0.2956378528075636,0.003284240217213468,0.03544710285711642,0.013935614698479384,0.03985424804165274,0.0006075233826750924,0.024842918491794014,0.011285404003517468,0.0052482002693162826
A4Q9F4,1,727,S,test,0,0.7083790645976558,0.1847917222713275,0.008119182371945376,0.027790606894539004,0.044236129436612176,0.006626682119937063,0.005408540641072505,0.007054066965525913,0.002894983290943214,0.004699021410441428
