id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.02770908620633596,0.9393591490739879,0.000253205933804229,0.014716185018294579,0.004479425307624622,0.0001420356507107684,0.00012148953324256024,0.0006671087772178741,0.011550865587772642,0.0010014489110088548
A0A0A7EQR3,2,474,S,test,2,0.0004858941887489479,0.0013734119875926708,0.9499036783493754,0.0024388260500149603,0.0006641385341439456,0.00842961585931442,0.007872627211024115,0.00017056490673530669,0.02737104180452832,0.0012902011085219494
A0AQW4,0,356,U,test,0,0.9990797086325951,0.00013701063349398816,2.2105796329720975e-05,6.497254099567145e-05,0.00032867142142339867,1.98155067617492e-05,0.00030249077958380293,8.390413349978305e-06,3.166509136601004e-05,5.169184100609114e-06
A0AVI4,5,362,M,test,6,0.11770720453766237,0.006093744019708703,0.010529045655169423,0.08217287580981567,0.008866345264228274,0.1686077816262082,0.5703927716527274,0.0015772773912884272,0.02135250099446913,0.012700453048722374
A0AVK6,0,867,U,test,0,0.9847421423745231,0.012789567643674513,9.464519612270526e-05,0.001098067358485501,0.0008944677336251158,8.803374640975573e-06,0.0001314018415882162,7.724715222323581e-05,0.00015124257719871645,1.2414747918004854e-05
A0PJY2,0,475,U,test,0,0.9967341043790191,0.0010920730003937261,5.45839190785789e-05,0.00023342580810515877,0.001096347305187292,1.7446068586781367e-05,0.000601629412659198,3.931532260616539e-05,0.00012015731315224802,1.0917471211785224e-05
A1XGB4,4,166,M,test,4,0.00589844962506981,1.7126859065092488e-05,0.001816579247119495,0.0017675801579881962,0.9049617614317833,0.004618456731412134,0.0005671637087263935,0.0020265405518484457,0.07784874195435548,0.00047759973263164545
A1Z9P3,1,1576,S,test,1,0.009728203495839801,0.9845815019256698,0.0016475220104441794,0.0001767916710141941,0.0006027692554947359,2.392614845350514e-05,3.883597305355189e-05,0.0013636780301043636,0.0017686122335465084,6.815925637930857e-05
A2A8L1,0,1946,U,test,0,0.9983544581235256,0.0006184058134583996,4.900824825713262e-05,8.017214669868683e-05,0.00042585462774774146,5.9453753884253985e-06,0.0004159897107405636,2.075139837398468e-05,2.6232225741311998e-05,3.1823300681539133e-06
A2A935,0,1275,U,test,0,0.9942686443432351,0.0035858926882246784,0.00010744189661773331,0.00012366486629287595,0.0011416517532461105,1.5845533016226074e-05,0.0004585742082797767,0.00010172394714918702,0.00018709896324646316,9.461800691829005e-06
A2A9C3,9,3431,U,test,1,0.01810064402737144,0.9653685755295984,0.0005256524994735823,0.00018742715007061503,0.00024445107832133013,0.0014400782078187416,0.0007471027593789988,0.006074809329848241,0.005968958917509502,0.0013423005006090955
A2AMM0,1,362,S,test,1,0.05427653273658849,0.9108738754590272,0.004874100977955441,0.005765572187112158,0.0024604443788271866,0.0019770225765008633,0.0006674134677522458,0.013790428448396936,0.0028541653890122513,0.0024604443788271866
A2APC3,1,461,S,test,1,0.007384663598720397,0.9747859438877531,0.0020031438153006757,0.010744622196888582,0.0011236618968359102,9.08058009748078e-05,0.0005829481061525015,0.000650325628720857,0.0014093878268641113,0.0012244972417890477
