id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.1133638934064517,0.8376521538391051,0.0005948790822237652,0.023121412819915605,0.006755049877728781,0.00026397598329484356,0.00026813302924878573,0.0006042470821239775,0.016524129930198167,0.0008521249497093228
A0A0A7EQR3,2,474,S,test,2,0.0002143871441416867,0.0004869181219879504,0.9744792160151573,0.003487170523447849,0.0013979797346836142,0.0014998134509813551,0.0007140182116263313,8.936985592326349e-05,0.017299077658509993,0.00033204928354060214
A0AQW4,0,356,U,test,0,0.9961840344620299,0.00029376524128188854,4.31556029166235e-05,0.0001628675500073778,0.0008287267272310357,4.522668602714749e-05,0.0023378799280461176,2.0706285450795997e-05,6.478423057600348e-05,1.885328643320279e-05
A0AVI4,5,362,M,test,5,0.039810061475897496,8.309628956170788e-05,0.0007178423786868613,0.0015557103624564321,0.00998722948988744,0.8920254950750514,0.04877630707686153,0.0007178423786868613,0.0045635648641120345,0.0017628506087982517
A0AVK6,0,867,U,test,0,0.9939364493040499,0.004392059915028373,5.4430712574945656e-05,0.0006433234081101105,0.0005380460545197964,1.5114862885786567e-05,0.0002458547754212799,3.7409645029185494e-05,0.00012266149509166562,1.4649827288995689e-05
A0PJY2,0,475,U,test,0,0.996915529511425,0.0009269990327482587,7.698967050018282e-05,0.0002928348463399576,0.0009019948825123225,2.4225875556192685e-05,0.0007463209272090843,1.946603651981371e-05,8.521979777277903e-05,1.0419419416416217e-05
A1XGB4,4,166,M,test,4,0.004614246207506057,8.047337683559864e-06,0.0009979007737511603,0.001730966255686671,0.9582282799113523,0.0011804163527754153,0.00025428768607636744,0.0010417137933457618,0.03177996120906095,0.00016418047276182095
A1Z9P3,1,1576,S,test,1,0.059330241149497885,0.9280811784876776,0.0023827979548720337,0.00040605939772197803,0.002796676240858263,5.082429439252164e-05,0.00010428468233989507,0.002318525997758455,0.004423484863698917,0.00010592693118249612
A2A8L1,0,1946,U,test,0,0.9981697919483515,0.0005695967189570169,5.3396285435025945e-05,0.00015450727557563533,0.0004834104970367142,7.3977708772674446e-06,0.0005115814336554799,1.7471198802220558e-05,2.791889380595844e-05,4.927977503090851e-06
A2A935,0,1275,U,test,0,0.9987031737158416,0.0003356825500860052,2.837370594638209e-05,6.245994477163826e-05,0.0006332920492788821,7.17399635264977e-06,0.00014983359916004817,1.860793150318766e-05,5.821906534570479e-05,3.1834417138865054e-06
A2A9C3,9,3431,U,test,0,0.5546044214554955,0.2258379352435085,0.007788358401290297,0.001486434163273017,0.007489991048164499,0.0420829140037841,0.04642259788555275,0.012641754236850036,0.09124677053181027,0.010398823030271065
A2AMM0,1,362,S,test,1,0.019753198848218783,0.9592271051566038,0.002340823606307669,0.007918904261682003,0.000861140912655829,0.0015232029937236261,0.00017495137578622306,0.0015232029937236261,0.0057316916166023635,0.0009457782346960537
A2APC3,1,461,S,test,1,0.05180953429568303,0.8264219145162467,0.004800249930452561,0.07392440185514079,0.00407391895920642,0.0012424750259164702,0.008490776010544895,0.0024709569311919116,0.0069843222771344875,0.01978145019848271
A2AR95,4,345,M,test,4,0.00703483633386282,1.2757632372800858e-05,0.0004062900012855281,0.0007328279507170703,0.9808057435914302,0.003208226098148046,8.855551556437842e-05,0.004778638313013481,0.002875835252773767,5.6289310831848544e-05
A2AVQ5,3,414,U,test,1,0.019304222215502848,0.9447768647643905,0.0021322948332009443,0.0011593085305561359,0.0006303051669344817,0.009539964986068293,0.0006503131741432158,0.008023655655370159,0.010454605568312696,0.003328465105520785
A2RV66,5,269,M,test,4,0.045947948606269266,6.240853234351233e-05,0.010262390113627085,0.005215984996000351,0.8875338821147307,0.032837518987579466,0.000440022956390874,0.0028248258232196092,0.014657190706973989,0.00021782716286509058
A2XFC1,0,442,U,test,0,0.9949169867193529,0.000657305555117884,5.2808101078290594e-05,0.0009886614963181908,0.0006791648008266367,1.3144975398188913e-05,0.0025643928592052486,4.310071171440081e-05,6.470183556338529e-05,1.9732945424838735e-05
A4D1B5,7,854,U,test,0,0.6599588032683105,0.32163823869419383,0.001056199835503704,0.0023250462145155476,0.003008833223062564,0.0006209078952510417,0.0036151961305935657,0.0024749989197022522,0.0047706851916611915,0.0005310906272057746
A4Q9F4,1,727,S,test,1,0.04846875813984912,0.92894022676329,0.0019089328966386447,0.004817839508447501,0.005788767372025238,0.0010217780690894886,0.0009749874981166695,0.002609201810232159,0.002777481065884359,0.0026920268764267603
A5D6W6,5,292,M,test,5,0.0003922801437476864,0.0018245444267743485,0.00012247584077271318,0.0001648092282912933,8.032160917316964e-05,0.9323035051598798,0.0009484116649919827,0.032914339471905515,0.026863901286545606,0.004385411167917864
A6NNB3,4,132,M,test,4,0.004066978311489316,9.80911365287309e-06,5.733646597641738e-05,0.0006460079768784221,0.9683141578751514,0.018014582741751228,0.0001375430213416198,0.0024523356713694756,0.006081455680110644,0.00021979314227854447
A6XGK3,2,422,S,test,2,0.00022709260931648225,0.0008503690087605307,0.925285773671167,0.0018719443191133882,0.001025740824999382,0.01319849244201266,0.0005890334452827283,0.00010727095157545897,0.05556772766456002,0.0012765550632122774
A6YSL1,6,525,S,test,6,0.00923553137197126,6.031394452764906e-05,4.552735524272589e-05,0.0014163144098568435,0.000212167462046022,0.0013253172158122772,0.9872596760028292,8.913823066093211e-05,7.162457991264279e-05,0.00028438942714050815
