id,label,length,membrane,split,prediction,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
A0A068FIK2,1,1033,S,test,1,0.01223982425192665,0.9799557789747955,0.0001228406097574001,0.0035619921008017323,0.0007733497909468741,4.9632098315251816e-05,5.0413689090013776e-05,0.00027682561209177654,0.0026111039082514025,0.00035823896402346184
A0A0A7EQR3,2,474,S,test,2,8.699939320669421e-05,0.0004282259970757471,0.9941576709973396,0.0006803053307580468,0.0004118209265293716,0.00026382237860652177,0.00016381105000082077,3.921369606323222e-05,0.0036993080470579492,6.882218336200718e-05
A0AQW4,0,356,U,test,0,0.9979140793443194,0.0007936984902062137,3.212621778749294e-05,0.00016507355557624574,0.0005562595593887917,9.797943125019687e-06,0.00048707710983462787,1.1102524070876825e-05,2.3504042971466602e-05,7.281212719901909e-06
A0AVI4,5,362,M,test,5,0.03818133838527149,0.05300953456783904,0.006160315910176138,0.0005888827141202637,0.0004111063781435163,0.8292086491400733,0.05058205369452359,0.010917791010348375,0.0018714656355284093,0.009068862563975821
A0AVK6,0,867,U,test,0,0.9476071531430459,0.04867619110094216,0.00015984350912652139,0.0019973688806893034,0.0008407981203934488,1.5339715907055724e-05,0.00024183551398391826,0.00016236067061836304,0.00026560432410742727,3.3505021185912323e-05
A0PJY2,0,475,U,test,0,0.9972026850104997,0.0014083996712302598,4.972258947203296e-05,0.00028501819655345017,0.0007335278287563866,6.729220564870393e-06,0.00025548865935204156,1.4470097724238334e-05,3.9333804440613675e-05,4.624921406397738e-06
A1XGB4,4,166,M,test,4,0.0011703605064673987,3.919046334137346e-06,0.00027690121017194574,0.0005442681789715725,0.9879114614573061,0.00019180386986097057,5.2436261175545266e-05,0.0004288729908402474,0.009387162702833896,3.281377603812053e-05
A1Z9P3,1,1576,S,test,1,0.007548087580949519,0.988604405266994,0.0005775165504350719,0.00014263651669356366,0.0005510701330945875,8.837901798354358e-06,1.8709839023886815e-05,0.001143492501017986,0.0013467058018898275,5.853790810322488e-05
A2A8L1,0,1946,U,test,0,0.9971408535953881,0.0018367855242202719,7.177848379973159e-05,0.00011742176503648227,0.00038220153057223045,6.9423983988517875e-06,0.00037978314785513766,2.8775441953802285e-05,3.111367090530393e-05,4.344441870156984e-06
A2A935,0,1275,U,test,0,0.9973109709719842,0.0013975911148662856,4.745077644798058e-05,0.00026414277634130416,0.0007422550205978427,4.483113831910025e-06,0.0001513884562129534,2.5398570832847374e-05,5.2935166949373624e-05,3.3840319353384e-06
A2A9C3,9,3431,U,test,1,0.0722864435924939,0.9228914707637379,0.00017918017434945317,0.0004332021464442123,0.0008514882271139163,3.06541148590224e-05,0.00023007190065247712,0.002039624147171401,0.0009573539585386596,0.00010051097463910652
