comparison,metric,estimate,ci_low,ci_high,kind
frozen,accuracy,0.6931121529029931,0.6776054814280562,0.7097097006851785,single
frozen,macro_f1,0.5739822324464982,0.5477247234646956,0.6011707121121892,single
linear,accuracy,0.7529751172015867,0.7392715470609448,0.7659574468085106,single
linear,macro_f1,0.5901701588375321,0.5637107890629147,0.6153032483930314,single
lora,accuracy,0.7710061305445366,0.7565813198701767,0.7847097006851785,single
lora,macro_f1,0.6140053693508801,0.5899050566875409,0.637873450560629,single
full,accuracy,0.7930039668229355,0.7785791561485755,0.8063469166967183,single
full,macro_f1,0.684964355297645,0.6555599755021373,0.7086595985612957,single
frozen - linear,accuracy,-0.05986296429859361,-0.07573025604038952,-0.04434727731698525,paired_difference
frozen - linear,macro_f1,-0.016187926391033947,-0.044882720606672734,0.015231415645767854,paired_difference
frozen - lora,accuracy,-0.07789397764154349,-0.09521276595744681,-0.06058420483231164,paired_difference
frozen - lora,macro_f1,-0.04002313690438197,-0.06786638917910352,-0.011570283326304241,paired_difference
frozen - full,accuracy,-0.0998918139199424,-0.11721060223584572,-0.08366390191128747,paired_difference
frozen - full,macro_f1,-0.11098212285114684,-0.13965969803778633,-0.0787245475306015,paired_difference
linear - lora,accuracy,-0.018031013342949875,-0.031743598990263286,-0.002515326361341513,paired_difference
linear - lora,macro_f1,-0.023835210513348026,-0.048590137339702515,0.002707487587628693,paired_difference
linear - full,accuracy,-0.04002884962134878,-0.055183916336098135,-0.024522178146411885,paired_difference
linear - full,macro_f1,-0.09479419646011289,-0.12274833463352539,-0.06728869710063745,paired_difference
lora - full,accuracy,-0.021997836278398908,-0.035340786152181725,-0.00865488640461598,paired_difference
lora - full,macro_f1,-0.07095898594676486,-0.09743405075624757,-0.044982344769143215,paired_difference
