,Nucleus,Cytoplasm,Extracellular,Mitochondrion,Cell membrane,Endoplasmic reticulum,Chloroplast,Golgi apparatus,Lysosome/Vacuole,Peroxisome
Nucleus,689,101,3,6,0,4,1,2,2,0
Cytoplasm,186,274,7,20,5,6,0,6,2,2
Extracellular,6,8,339,3,24,7,1,3,2,0
Mitochondrion,23,40,2,207,7,12,10,0,0,1
Cell membrane,21,21,18,2,170,17,0,3,21,0
Endoplasmic reticulum,23,26,8,5,17,68,3,12,11,0
Chloroplast,5,2,0,8,0,0,137,0,0,0
Golgi apparatus,11,12,2,1,6,8,0,26,4,0
Lysosome/Vacuole,7,9,6,5,14,14,0,3,6,0
Peroxisome,1,8,3,5,1,4,1,0,1,6
