,Nucleus,Cytoplasm,Extracellular,Mitochondrion,Cell membrane,Endoplasmic reticulum,Chloroplast,Golgi apparatus,Lysosome/Vacuole,Peroxisome
Nucleus,704,77,3,6,3,8,1,2,2,2
Cytoplasm,93,356,11,12,19,4,2,6,3,2
Extracellular,1,6,363,1,5,4,1,0,11,1
Mitochondrion,2,23,1,252,0,9,12,1,0,2
Cell membrane,5,16,3,2,209,9,1,10,18,0
Endoplasmic reticulum,4,12,3,4,22,114,0,6,7,1
Chloroplast,3,3,0,2,0,0,144,0,0,0
Golgi apparatus,4,12,0,0,15,9,0,25,5,0
Lysosome/Vacuole,0,9,10,0,14,8,0,2,21,0
Peroxisome,1,5,3,5,1,3,0,0,1,11
