epoch,step,loss,accuracy,examples_seen
1,693,1.1253822116739964,0.674064050518719,11085
2,1386,0.6453306260924109,0.8179521876409562,11085
3,2079,0.5118293566052098,0.8637798827244023,11085
4,2772,0.41245592914834234,0.8946323861073523,11085
5,3465,0.33453358128418187,0.9196211096075778,11085
6,4158,0.2736199116997209,0.934957149300857,11085
7,4851,0.2314577287631794,0.9472259810554804,11085
8,5544,0.1923269585870546,0.9560667568786648,11085
9,6237,0.15961182576662578,0.9641858367162832,11085
10,6930,0.13301498144663396,0.9711321605773567,11085
