,Nucleus,Cytoplasm,Extracellular,Mitochondrion,Cell membrane,Endoplasmic reticulum,Chloroplast,Golgi apparatus,Lysosome/Vacuole,Peroxisome
Nucleus,696,87,4,3,4,10,3,0,0,1
Cytoplasm,106,348,9,25,7,6,2,3,2,0
Extracellular,3,4,358,1,10,16,0,0,1,0
Mitochondrion,4,21,0,253,1,13,8,1,0,1
Cell membrane,3,23,12,1,209,13,1,4,7,0
Endoplasmic reticulum,8,8,3,7,30,104,0,6,7,0
Chloroplast,4,0,2,5,0,1,140,0,0,0
Golgi apparatus,4,16,0,0,11,12,1,24,2,0
Lysosome/Vacuole,3,8,10,0,25,7,0,8,3,0
Peroxisome,0,14,0,6,1,6,0,0,0,3
