epoch,step,loss,accuracy,examples_seen
1,693,1.2919806246828485,0.566531348669373,11085
2,1386,0.7140833406013898,0.7741993685160127,11085
3,2079,0.5964332563359833,0.8105548037889039,11085
4,2772,0.5156424075459165,0.8399639152007217,11085
5,3465,0.4443891705077244,0.8615245827695084,11085
6,4158,0.37046870127098486,0.8872350022552999,11085
7,4851,0.3133454277647687,0.9083446098331078,11085
8,5544,0.25509309815994835,0.9251240414975191,11085
9,6237,0.20549732977385773,0.9407307171853857,11085
10,6930,0.1643299157844237,0.9560667568786648,11085
