strategy,group,n,accuracy,macro_f1,ece,nll,brier
frozen,length_0_128,1,1.0,0.1,0.7888359831065938,1.55512011622316,0.7778670029507985
frozen,length_129_512,16,0.3125,0.20303030303030303,0.34814534174697265,14.101943562515501,0.9220431763937724
frozen,length_513_plus,23,0.43478260869565216,0.22043650793650796,0.1578704324187475,8.52132018317817,0.7057952100272573
frozen,membrane_M,14,0.2857142857142857,0.1571428571428571,0.38826560484519196,18.516463379367092,0.9680389150174415
frozen,membrane_S,11,0.2727272727272727,0.11499999999999999,0.4126024760226896,10.770187018502396,1.0261774924788307
frozen,membrane_U,15,0.6,0.21058823529411766,0.23808722556477468,3.0316024543268956,0.46155669522445036
frozen,class_Nucleus,10,0.7,0.08235294117647059,0.22920755281703825,0.5882508928207499,0.33625096120846626
frozen,class_Cytoplasm,6,0.16666666666666666,0.02857142857142857,0.5812773475493865,1.4280431364395172,0.9701928761700135
frozen,class_Extracellular,3,0.3333333333333333,0.05,0.5900884965282551,24.305027949982843,1.1424412243627353
frozen,class_Mitochondrion,5,0.4,0.05714285714285714,0.3931996221058791,8.001012004623695,0.8050313386785379
frozen,class_Cell membrane,5,0.2,0.03333333333333333,0.3974651814843932,15.102461001073886,0.9405931154742028
frozen,class_Endoplasmic reticulum,2,0.0,0.0,0.4740813738775189,36.04365338911715,1.3515631240180372
frozen,class_Chloroplast,5,0.8,0.08888888888888888,0.4435557497229254,7.709659580976125,0.5435270659381188
frozen,class_Golgi apparatus,2,0.0,0.0,0.4928048914092227,18.785226621469405,1.1371081078452132
frozen,class_Lysosome/Vacuole,1,0.0,0.0,0.37688293362229935,36.04365338911715,1.272958872516694
frozen,class_Peroxisome,1,0.0,0.0,0.6201392901718629,36.04365338911715,1.4567981769876366
frozen,terminal_X_mask_10_each,40,0.225,0.09589490968801313,0.3336606222052517,15.907126128021684,0.9722393384947786
linear,length_0_128,1,0.0,0.0,0.15861657025491346,2.5131403975806608,0.9471524794555819
linear,length_129_512,16,0.1875,0.031578947368421054,0.037143566256979905,2.1438485956280506,0.8574358911750999
linear,length_513_plus,23,0.30434782608695654,0.04666666666666667,0.06072984439215742,2.006516736256119,0.8330865339902624
linear,membrane_M,14,0.07142857142857142,0.013333333333333332,0.15517675832754588,2.450152117755426,0.9401010873044783
linear,membrane_S,11,0.0,0.0,0.2369938952565435,2.0138260942242456,0.8578779749331098
linear,membrane_U,15,0.6,0.075,0.4148678065725218,1.7673590784318356,0.7486029382337543
linear,class_Nucleus,10,1.0,0.1,0.7491810016859145,1.3853430026027431,0.6349826543199888
linear,class_Cytoplasm,6,0.0,0.0,0.23404272224560804,1.893203304343012,0.8306134358644804
linear,class_Extracellular,3,0.0,0.0,0.23630222926239072,1.9783016431516376,0.8549197471043959
linear,class_Mitochondrion,5,0.0,0.0,0.21464206962715282,2.071286350492742,0.8720937162249769
linear,class_Cell membrane,5,0.0,0.0,0.24182262343919927,2.2407948700887204,0.9208103590915139
linear,class_Endoplasmic reticulum,2,0.0,0.0,0.20591907336672563,2.94783570139705,1.0171054912660833
linear,class_Chloroplast,5,0.0,0.0,0.22188871515298278,2.630869506529695,0.9835062196906186
linear,class_Golgi apparatus,2,0.0,0.0,0.22798121195306026,2.7968568494310695,1.0045826059433194
linear,class_Lysosome/Vacuole,1,0.0,0.0,0.20157166275914762,2.7852039879654433,0.997028926550393
linear,class_Peroxisome,1,0.0,0.0,0.21052010122105372,2.8277053548023097,1.0063940243285143
linear,terminal_X_mask_10_each,40,0.25,0.04,0.06224268289066763,2.105006759270485,0.8537906917480582
lora,length_0_128,1,0.0,0.0,0.11648077083823195,2.3824509867103183,0.9167589433263267
lora,length_129_512,16,0.0625,0.016666666666666666,0.06655158729948554,2.2681569986945567,0.8926099975204647
lora,length_513_plus,23,0.43478260869565216,0.16299999999999998,0.30235494315413336,2.163816410214257,0.8711280148902175
lora,membrane_M,14,0.07142857142857142,0.02857142857142857,0.056354377464723354,2.330318545489374,0.9050424416729029
lora,membrane_S,11,0.2727272727272727,0.06,0.14191870727924424,2.1391469460898276,0.8664160749373299
lora,membrane_U,15,0.4666666666666667,0.07368421052631578,0.33338086862330046,2.152377623794119,0.8688861492264995
lora,class_Nucleus,10,0.7,0.08235294117647059,0.5673982314980485,2.0259748152229555,0.8408155727168658
lora,class_Cytoplasm,6,0.5,0.06666666666666667,0.37125830124068726,2.0627011367041153,0.8496345079378864
lora,class_Extracellular,3,0.0,0.0,0.13419069421803267,2.1016033839873702,0.8596130920518812
lora,class_Mitochondrion,5,0.0,0.0,0.12950302446831116,2.3503068460824954,0.9131603565801223
lora,class_Cell membrane,5,0.2,0.03333333333333333,0.07020446568135136,2.1078211887951284,0.8610211579694239
lora,class_Endoplasmic reticulum,2,0.0,0.0,0.12810779542902895,2.6248888942982864,0.9588524319552503
lora,class_Chloroplast,5,0.0,0.0,0.13221871462184676,2.401715537212521,0.9224672612187528
lora,class_Golgi apparatus,2,0.0,0.0,0.1277320039444132,2.544802497133789,0.946456936371187
lora,class_Lysosome/Vacuole,1,0.0,0.0,0.12712179572627136,2.4639767117733733,0.9337019691170115
lora,class_Peroxisome,1,0.0,0.0,0.12971475333825486,2.3973979212465295,0.9220966105657612
lora,terminal_X_mask_10_each,40,0.2,0.07322433663897078,0.0699923057804667,2.226585004789076,0.8842151874541047
full,length_0_128,1,0.0,0.0,0.12292168460202844,2.4131023174983195,0.9223771975032712
full,length_129_512,16,0.1875,0.03333333333333333,0.057887201093863916,2.2849687567879924,0.896218524930851
full,length_513_plus,23,0.2608695652173913,0.05,0.13073777119814375,2.2929305461729714,0.8969859136506656
full,membrane_M,14,0.07142857142857142,0.014285714285714285,0.057746050658643244,2.3341005855915484,0.9070660574857632
full,membrane_S,11,0.0,0.0,0.1310818921348852,2.4329684012340644,0.9265448708377279
full,membrane_U,15,0.5333333333333333,0.08,0.4040391862107896,2.1513296250818774,0.8667754150897671
full,class_Nucleus,10,0.9,0.09473684210526315,0.769535845274679,2.0426123720422296,0.8427586103425521
full,class_Cytoplasm,6,0.0,0.0,0.131070255992484,2.4795176674471855,0.9347674966277945
full,class_Extracellular,3,0.0,0.0,0.1316599686862757,2.35151018333636,0.9119326317198245
full,class_Mitochondrion,5,0.0,0.0,0.12782541974376987,2.3298277281651245,0.907639511501648
full,class_Cell membrane,5,0.0,0.0,0.12920101713451065,2.2570811474683996,0.8926275421477861
full,class_Endoplasmic reticulum,2,0.0,0.0,0.1341705474638567,2.445610397443261,0.9295639003003997
full,class_Chloroplast,5,0.0,0.0,0.12820406924629604,2.4628209049757217,0.9318687803047212
full,class_Golgi apparatus,2,0.0,0.0,0.12912393481222728,2.447867437594553,0.9295026448610912
full,class_Lysosome/Vacuole,1,0.0,0.0,0.12539519832024584,2.2125154254191206,0.8832967348078822
full,class_Peroxisome,1,0.0,0.0,0.12557804678066115,2.1041247144290764,0.8584516371087955
full,terminal_X_mask_10_each,40,0.2,0.05222672064777327,0.07212249960595996,2.2950602150835495,0.8979866545205363
